"Top values of all_text.keyword","Count of records"
"
@renata.jbarreto 
Hoje, no entanto, Boulos não abre a boca pra falar de Moraes porque, afinal, virou “fascista do bem”, agindo contra oponentes políticos da esquerda. 🤡

https://t.me/freedomnewsforyou 🇧🇷",9
"
Comunista radical Boulos: Mensagem após votar no Campo Limpo!",9
"
E o paulistano, ainda vai levar a culpa de votar no Boulos.
E segue o teatro...

Acesse: https://t.me/SintoniaUniversal",9
"
Guilherme Boulos entra na cabine de votação com três pessoas, violando o sigilo do voto. A prática é crime segundo a lei eleitoral.
.

Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",9
"#2 DENUNCIA CONTRA BOULOS. PODE FICAR INELEGÍVEL? MINISTRO DE LULA SOLTA...
https://youtube.com/watch?v=oaSZDAYGdOg&si=p2PBpMABGxRrBeiT
",9
"#4 DEBATE PREFEITURA SÃO PAULO TV RECORD PABRO MARÇAL, BOULOS RICARDO NUNES
https://youtube.com/watch?v=QZISvdOQDmk&si=7T_MN_bl9lqyWw93
",9
"https://bsbrevista.com.br/2024/10/05/pericia-conclui-que-e-falsa-assinatura-em-laudo-que-pablo-marcal-apresentou-contra-boulos/
",9
"
Denunciei o Boulos na justiça eleitoral!",8
"
Entre is criminosos dos presídios, o amigo de LULA, Guilherme Boulos,  vence disparado para prefeito de São Paulo, com 48% dos votos",8
"
Parece o Boulos fingindo ser moderado

💥e o Ladrao de 9 dedos .. sempre mentindo FDP",8
"
Saved by @InstantMediaBot



Mais uma do Boulos.",8
"
TUDO COMUNAAAAS!!! 👿👿👿👿

Tudo amiguinho... 🤮🤮🤮🤮

Datena 🤝 Nunes 🤝 Boulos 🤝 Tabata

@FORACOMUNAS",8
"
Vídeo que mostra o verdadeiro Guilherme Boulos: depredação da FIESP, a favor da ditadura Cubana, a favor de invasão de terras e quer a caneta para que? Para perpetuar isso no Brasil e na América do Sul? O tal fórum de São Paulo?",8
"
🇧🇷 — Instagram derruba publicação em que Pablo Marçal divulgou suposto exame positivo para cocaína de Guilherme Boulos.

☕ Considere apoiar nosso canal!
📪 Apoie anonimamente!

🌐 Siga @Armillary no 𝕏 e Telegram",8
"
🚨 Agora: Presidente Jair Bolsonaro declara apoio a Pablo Marçal em eventual 2º turno em SP.

“Contra o Boulos, eu tô com qualquer um”, disse Bolsonaro após votar no RJ.",8
"
🚨URGENTE🚨

Boulos sofre atentado em SP",8
"20h45
BOULOS TENTA LIVE COM LULA E  AUDIÊNCIA OBTIDA É DESANIMADORA
https://www.jornaldacidadeonline.com.br/noticias/63787/boulos-tenta-live-com-lula-e-audiencia-obtida-e-desanimadora
O resultado não poderia ser pior.
",8
"Marçal usou clínica sem conhecimento de dono para produzir Laudo falso contra Boulos

https://bsbrevista.com.br/2024/10/07/marcal-usou-clinica-sem-conhecimento-de-dono-para-produzir-laudo-falso-contra-boulos/
",8
"Sem aceitar derrota. Boulos entra com ação no TRE-SP contra Tarcísio de Freiras https://www.jornalbrasilonline.com.br/2024/10/boulos-entra-com-acao-no-tre-sp-contra.html
",8
"https://atrombetanews.com.br/2024/10/13/boulos-culpa-nunes-pela-falta-de-energia-em-sp-incompetencia-veja-video/
Boulos culpa Nunes pela falta de energia em SP: “incompetência”; VEJA VÍDEO
",8
"https://atrombetanews.com.br/2024/10/27/agora-nunes-derrota-boulos-com-folga-e-e-reeleito-prefeito-de-sao-paulo/
AGORA: Nunes derrota Boulos com folga e é reeleito prefeito de São Paulo
",8
"https://www.clmbrasil.com.br/eleicoes-em-sp-apagao-nao-afeta-vantagem-de-nunes-sobre-boulos-aponta-datafolha/
",8
"https://www.clmbrasil.com.br/nunes-lidera-fortemente-sobre-boulos-aponta-parana-pesquisas/
",8
"https://www.clmbrasil.com.br/nunes-mantem-boa-vantagem-sobre-boulos-a-um-dia-do-2-turno-em-sp-aponta-datafolha/

ENTREM NO CANAL 👇
https://t.me/clmbrasil
",8
"
Acho que Boulos já era, agora só se as ""caixas mágicas"" forem requisitadas a atuarem!",7
"
Boulos e a extrema esquerda estão desesperados. Eles sabem que o bem vai prevalecer em São Paulo e que mesmo torrando rios de dinheiro, não conseguirão vencer Nunes",7
"
NUNCA falha!

Silvio Bengala já foi esquecido, anda inclusive gravando vídeo pra Boulos.

O desgoverno dos tarados seguem acobertados pelo submundo das leis seletivas.",7
"
Não votem no Boulos!",7
"
OiLuizTV 
PANICO: BOULOS USA BONÉ DE MARCAL EM PROPAGANDA E ACEITA LIVE COM ELE!
FARÇAL:
-Vou entrevistar o ""BOULOS"" com o maior respeito!!
Ué cadê o ""Boules comedor de açúcar comunista""??????🤨😑


Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",7
"
Oposição vai pedir impeachment de Tarcísio por ligar PCC a Boulos.

https://ift.tt/4FtzNEv

@ZUMBINOTICIAS",7
"
Ouçam com atenção.

Boulos Jamais,, derradeira, falência e desgraça para a cidade de São Paulo SP",7
"
Pablo Marçal diz que não é responsável por laudo e que o recebeu de alguém  

“Eu recebi o laudo e publiquei. Não foi eu que fiz ele. Espero que as investigações ocorram bem. Boulos é um criminoso, cheirador de cocaína”.

@ZUMBINOTICIAS",7
"
É isso que a esquerda quer.  Boulos na maior prefeitura da América Latina. Acorda vc que está encima do muro.",7
"
🇧🇷 — Instagram derruba publicação em que Pablo Marçal divulgou suposto exame positivo para cocaína de Guilherme Boulos.",7
"
🚨

“Contra o Boulos, eu tô com qualquer um”, disse Bolsonaro após votar no RJ.


Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",7
"
🚨 URGENTE! 🚨

PT pede prisão de Tarcísio após acusação de apoio do PCC a Boulos

✍ Inscreva-se em nosso canal no Telegram:
https://t.me/oraculonacionalistaoficial

📲 Siga nosso canal no WhatsApp:
https://whatsapp.com/channel/0029VaLDBxl1nozC7Inb8n1p",7
"
🚨URGENTE - PT pede prisão de Tarcísio após acusação de apoio do PCC a Boulos",7
"Paraná Pesquisas: Nunes tem 51,7% e Boulos, 39,6% no 2º turno

https://pleno.news/brasil/eleicoes-2024/parana-pesquisas-nunes-tem-517-e-boulos-396-no-2o-turno.html
",7
"SAIU A PIOR NOTÍCIA PARA BOULOS E LULA!!  FALSIFICAÇÃO DE DOCUMENTOS!  B...
https://youtube.com/watch?v=k2L1DDnCJ8I&si=CDc7fFO_FlESiQua
",7
"São Paulo 96,16% dos votos

Nunes 29,54%

Boulos 29%

Marçal 28,14%

#Eleições2024
",7
"https://agoranoticiasbrasil.com.br/2024/10/tre-sp-manda-excluir-video-de-boulos-que-cita-b-o-de-esposa-de-nunes/
",7
"https://atrombetanews.com.br/2024/10/15/acredite-se-quiser-nunes-e-boulos-trocaram-provocacoes-e-depois-se-abracaram-em-debate/
ACREDITE SE QUISER! NUNES E BOULOS TROCARAM PROVOCAÇÕES E DEPOIS SE ABRAÇARAM EM DEBATE!
",7
"https://atrombetanews.com.br/2024/10/25/boulos-chama-nunes-de-fantoche-do-tarcisio-em-entrevista-com-marcal/
Boulos chama Nunes de ‘fantoche do Tarcísio’ em entrevista com Marçal
",7
"https://atrombetanews.com.br/2024/10/28/com-73-dos-votos-boulos-volta-a-ser-o-mais-votado-em-prisoes-2/
Com 73% dos votos, Boulos volta a ser o mais votado em prisões
",7
"https://oglobo.globo.com/politica/eleicoes-2024/noticia/2024/10/09/sp-quase-50-mil-anularam-escolha-para-prefeito-digitando-13-do-pt-votos-com-os-quais-boulos-superaria-nunes.ghtml
",7
"🚨URGENTE 🚨 PABLO MARÇAL x GUILHERME BOULOS E RICARDO NUNES DEBATE DA GLOBO
https://youtube.com/watch?v=6GzKyDf7EHc&si=1X2SJZ4BMs-13A07
",7
"
*CHUPA INVASOR BOULOS,CHUPA PSOL e PTREVAS 🧠 👹 E SEUS PUXADINHOS*😠👺😡😤👹🤮🤪🥵🥴",6
"
Alex Moretti

A própria esquerda confirmando que Pablo Marçal fez acordo com Boulos para eleger o comunista",6
"
Boulos é o retrato da elite brasileira. O verdadeiro socialista com capital",6
"
COMO ELES USARAM AS CAIXAS MÁGICAS PRA DAR VITÓRIA AO LULA EM 22 E ESTÃO FAZENDO AGORA DE NOVO COM BOULOS. ENTENDA",6
"
CONTRA BOULOS, VOTAR NO NUNES É UM DEVER MORAL.",6
"
Finalmente o Pablo Marçal fez uma declaração sensata após a derrota. Ele disse que jamais votaria no Boulos e no PT. Aos eleitores de Marçal que estão cogitando anular ou até mesmo cometer a insanidade de votar no Boulos, repensem o seu posicionamento.",6
"
Guilherme Boulos entra na cabine de votação com três pessoas, violando o sigilo do voto. A prática é crime segundo a lei eleitoral.",6
"
O laudo do Marçal sobre Boulos - Esse vídeo é só pra quem busca a verdade


Inscreva-se compartilhe🔽
@qrmKuCwkBmNDU5
@forcaehonra1",6
"
Os políticos ""intergaláticos"" que apoiaram o coach ex-presidiário Pablo Farçal, infiltrado do PT/PCC na direita, até agora não abriram o bico sobre a parceria Boulos🫱🏻‍🫲🏼Farçal🤡 

Bolsonaro tem razão! 

NUNES1️⃣5️⃣",6
"
Pesquisa que não se pode confiar da Datafolha: Boulos vai a 26%. Marçal cresce e empata com Nunes em 24%

Levantamento divulgado nesta quinta (3/10) mostra que Pablo Marçal (PRTB) cresceu três pontos percentuais e ameaça Nunes (MDB)",6
"
Saved by @InstantMediaBot

Video by rip_esquerda
BOULOS se encontra com HAMAS: o verdadeiro EIXO DO MAL... Mais um teste para todos aqueles eleitores da cidade de SÃO PAULO que se dizem cristãos... 🔥🔥🔥

SIGA: @rip_esquerda ✅👍",6
"
Vai da ruim pro BOULOS ?!

https://t.me/freedomnewsforyou 🇧🇷",6
"
🇧🇷 Pesquisa Quaest em São Paulo, 25 e 26 de outubro.

🟢 Nunes (MDB): 55%
🔴 Boulos (PSOL): 45%",6
"
🚨URGENTE: NOVA PESQUISA ATLAS-SP COLOCA BOULOS E MARÇAL NO SEGUNDO TURNO

- Boulos: 32.3%
- Marçal: 30%
- Nunes: 20%",6
"
🚨VEJA: Boulos e feministas fazem “manifestação” na Paulista e passam vergonha com ato completamente esvaziado.

@FeminismoKkk",6
"Boulos foi o candidato mais votado nos presídios de São Paulo.

https://vistapatria.com.br/boulos-foi-o-candidato-mais-votado-nos-presidios-de-sao-paulo/
",6
"Com 73% dos votos, Boulos volta a ser o mais votado em prisões

https://pleno.news/brasil/eleicoes-2024/com-73-dos-votos-boulos-volta-a-ser-o-mais-votado-em-prisoes.html
",6
"Com 73% dos votos, Boulos volta a ser o mais votado em prisões 
 
https://www.portalcidade.news/com-73-dos-votos-boulos-volta-a-ser-o-mais-votado-em-prisoes/
",6
"Cármen Lúcia: TSE dará resposta rápida à denúncia de Boulos 
 
https://www.portalcidade.news/carmen-lucia-tse-dara-resposta-rapida-a-denuncia-de-boulos/
",6
"Datafolha: Mesmo com queda, Nunes ainda supera Boulos em SP 
 
https://www.portalcidade.news/datafolha-mesmo-com-queda-nunes-ainda-supera-boulos-em-sp/
",6
"Defesa de Marçal pede perícia particular em laudo sobre Boulos

https://pleno.news/brasil/eleicoes-2024/defesa-de-marcal-pede-pericia-particular-em-laudo-sobre-boulos.html
",6
"Estou vendo em massa o pessoal que esbravejava com uma ESPADA NA MÃO E ESTUFANDO O PEITO dizendo que eram ""todos contra Boulos"", mas agora afirmando que querem que ele ganhe em São Paulo.

Jair Bolsonaro mais uma vez tinha razão.
",6
"Expor essa informação pra a população ver o dinheiro do Contribuinte indo pra campanha de ficha suja do Boulos
",6
"LULA abandona Boulos na disputa para São Paulo 
https://youtu.be/jIigPup7-KY?si=zXYYPtYqkAZEewkb
Lula é um presidente sem povo. Presidente sem povo é como galinha sem ovo 🥚, se é que vocês me entendem.
",6
"Marçal é provocado por Boulos e da resposta a altura!  debate na globo.
https://youtube.com/watch?v=h971wmZfIko&si=U-NYpp2Y08TjAPoy
",6
"Paraná Pesquisas mostra Nunes liderando com folga disputa contra Guolherme Boulos https://bsbrevista.com.br/2024/10/10/parana-pesquisas-mostra-nunes-liderando-com-folga-disputa-contra-guolherme-boulos/
",6
"Ricardo Nunes falta ao 1° debate do segundo turno contra Boulos.

https://vistapatria.com.br/ricardo-nunes-falta-ao-1-debate-do-segundo-turno-contra-boulos/
",6
"https://agoranoticiasbrasil.com.br/2024/09/lula-ignora-boulos-para-descansar-em-brasilia-antes-de-embarcar-para-o-mexico/
",6
"https://agoranoticiasbrasil.com.br/2024/10/marcal-e-criticado-pela-direita-devido-a-sabatina-com-boulos/
",6
"https://atrombetanews.com.br/2024/10/25/marcal-diz-que-ele-e-boulos-vao-substituir-polarizacao-bolsonaro-lula/
Marçal diz que ele e Boulos vão substituir polarização Bolsonaro-Lula
",6
"https://gazetabrasil.com.br/brasil/sao-paulo-brasil/2024/10/27/nunes-venceu-em-55-das-58-zonas-eleitorais-boulos-perdeu-ate-no-bairro-onde-mora-campo-limpo/
",6
"https://gazetabrasil.com.br/politica/2024/10/08/defesa-de-pablo-marcal-diz-a-justica-eleitoral-que-divulgacao-de-laudo-sobre-boulos-foi-livre-manifestacao-do-pensamento/
",6
"https://gazetabrasil.com.br/ultimas-noticias/2024/10/27/nunes-marques-assume-relatoria-de-denuncia-de-boulos-contra-tarcisio-e-nunes-no-tse/
",6
"https://www.clmbrasil.com.br/nunes-aparece-com-enorme-vantagem-sobre-boulos-no-2-turno-em-sp-diz-pesquisa-datafolha/
",6
"🇧🇷💥 Trackings de pesquisas para São Paulo colocam Pablo Marçal  indo para o segundo turno com 46% e o Boulos é o provável adversário.
",6
"
58% de rejeição a Boulos é baixa. Numa sociedade saudável, a rejeição a um comunista e líder de grupo invasor de propriedades deveria ficar próxima dos 100%.",5
"
90% dos votos do Boulos virão daqui.",5
"
Boulos ainda teve 40% dos votos",5
"
Claro, seu companheiro comunista Boulos só perdeu por causa desse comentário do Tarcísio.

Eis a nossa imprensa ""profissional"".",5
"
Como eu havia dito em TODAS as análises dos debates. Boulos é o que sempre foi e DEFENDEU, mas para  as eleições e debate é outro. ( criado pelas agências de marketing para ser mais aceito e palatável ao eleitor )",5
"
Datena declara voto em Boulos: “Contra o crime organizado”. 🤡",5
"
Filha de médico que supostamente assinou receituário de Boulos grava vídeo para negar que o seu pai já falecido tenho realmente assinado o laudo.

@antifragilnews",5
"
Guilherme Boulos venceu em apenas 3 zonas eleitorais: 
 
- Jardim Angela 
- Capão Redondo  
- Centro",5
"
JÁ REMOVERAM A PUBLICAÇÃO DO MARÇAL SOBRE LAUDO DE BOULOS DO INSTAGRAM.

https://www.instagram.com/reel/DAudz9OtSJe/?igsh=MTJ3eTUxODh2dDR2bA==

#FazoⓂ️

-------------------------------------------------------------------
@ForaComunas",5
"
Malafaia defende Boulos, JB e Tarcísio defendem Nunes. Tarcísio defende a prisão de Marçal. Marçal cresce . Só faltou Lula e Bolsonaro se unem para derrotar Marçal. Caos.",5
"
Nunes e Boulos são de esquerda. Se não querem dividir votos com esquerdistas como Paulinho da Força, é só votar nulo.",5
"
Não podemos deixar Boulos ser eleito para a prefeitura da nossa cidade! Não desperdice seu poder, VOTE CONTRA BOULOS, VOTE Ricardo Nunes 
#BoulosNAO

https://t.me/freedomnewsforyou 🇧🇷",5
"
O histórico cr1m1nal do Boulos. Compartilhem isso urgente!",5
"
Petistas ainda em estado de negação pelo vexame nas eleições! Agora resolveram culpar o governador @tarcisiogdf pela derrota humilhante do Boulos e ainda vão entrar com pedido de impeachment. PIADA!",5
"
SEGUNDO ALDO REBELO QUEM É BOULOS?

https://t.me/freedomnewsforyou 🇧🇷",5
"
Saved by @InstantMediaBot



🚨🇧🇷VÁRZEA?! Guilherme Boulos entra na cabine de votação com três pessoas, violando o sigilo do voto. A prática é crime segundo a lei eleitoral.",5
"
Saved by @InstantMediaBot

BOULOS E O VANDALISMO #direita #shortsfeeds #cortesmbl #shorts #boulos #saopaulo",5
"
Se fossem pelos bandidos, Boulos já seria prefeito de São Paulo. Que mensagem isso passa?
Marina Helena
@marinahelenabr",5
"
• @brunozambelli.sp Até pesquisa? Boulos vai perder de lavada!

https://t.me/freedomnewsforyou 🇧🇷",5
"
🌩

🇧🇷🗳

Essa praga não presta mesmo!🤬

Apoiando Boulos!!",5
"
🚨 Alckmin reitera voto em Boulos no 2º turno: “Acho que é boa a mudança para a cidade”.

Fonte: Info Money

@ZUMBINOTICIAS",5
"
🚨 Boulos cobra Nunes sobre Cracolândia, e prefeito reage: “Defende liberação de drogas”.

Fonte: Info Money

@ZUMBINOTICIAS",5
"
🚨 Boulos desafia Nunes a abrir sigilo bancário, e prefeito rebate: “Está desesperado”.

Fonte: Info Money

@ZUMBINOTICIAS",5
"
🚨 Se Lascou: Pablo Marçal está pardendo seguidores sem parar no Instagram após live ontem com Guilherme Boulos.",5
"AGORA TODOS VOTEM NO NUNES, OU OS PAULISTANOS TERÃO SUAS CASAS INVADIDAS PELOS MST + 10 NOVAS CRACOLANDIAS + ROUBO/FURTO LEGALIZADOS PARA COMPRAR CERVEJINHA. TUDO COM APOIO DO BOULOS E SUA QUADRILHA.
",5
"Ao que tudo indica, não será desta vez que São Paulo cairá nas mãos desse terrorista.
Nunes prefeito é um mal para a cidade, porém um mal infinitamente menor do que Guilherme Boulos.
",5
"Boulos bateu o carro em 2017 e pai acabou pagando a conta; psolista já tinha 35 anos


https://gazetabrasil.com.br/politica/2024/10/20/boulos-bateu-o-carro-em-2017-e-pai-acabou-pagando-a-conta-psolista-ja-tinha-35-anos/
",5
"Boulos paga R$ 6,2 milhões para ter militantes nas ruas
https://revistaoeste.com/politica/boulos-paga-r-62-milhoes-para-ter-militantes-nas-ruas/
",5
"Boulos vence com 48% nos presídios de São Paulo (revistaoeste.com)


https://gettr.com/post/p3bzj35944a
",5
"CONTRA BOULOS, VOTAR NO NUNES É UM DEVER MORAL. 

Paraná Pesquisas: Nunes tem 52,3%; Boulos aparece com 39,2%

https://pleno.news/brasil/eleicoes-2024/parana-pesquisas-nunes-tem-523-boulos-aparece-com-392.html
",5
"DATAFOLHA INDICA RESULTADO INIMAGINÁVEL EM SP 
Ricardo Nunes (MDB): 55%
Guilherme Boulos (PSOL): 33%
https://www.jornaldacidadeonline.com.br/noticias/63477/datafolha-indica-resultado-inimaginavel-em-sp 
Surpreendente.
",5
"Datafolha em SP, 2º turno: Nunes tem 55% e Boulos, 33% | Eleições 2024 em São Paulo | G1
https://g1.globo.com/sp/sao-paulo/eleicoes/2024/noticia/2024/10/10/datafolha-em-sp-2o-turno-nunes-tem-55percent-e-boulos-33percent-no-2o-turno.ghtml
",5
"Datafolha: Nunes tem 57% dos votos válidos; Boulos tem 43% 
 
https://www.portalcidade.news/datafolha-nunes-tem-57-dos-votos-validos-boulos-tem-43/
",5
"Datena anuncia apoio a Boulos no segundo turno da disputa em São Paulo
https://www.newsatual.com/datena-apoia-boulos-segundo-turno-sp/
",5
"Falso é o exame que o Boulos apresentou no debate.
Todo mundo sabe que o Boulos cheira e senta, todo jornalista sabe disso e cheira junto
",5
"Marçal é criticado pela direita devido à sabatina com Boulos

https://pleno.news/brasil/eleicoes-2024/marcal-e-criticado-pela-direita-devido-a-sabatina-com-boulos.html
",5
"Nunes diz que Boulos está 'em desespero' por debate com Marçal

https://pleno.news/brasil/eleicoes-2024/nunes-diz-que-boulos-esta-em-desespero-por-debate-com-marcal.html
",5
"PARTE 2 
NÃO VOTEM NA ESQUERDA! NÃO VOTEM EM BOULOS! 

https://gettr.com/post/p3bmz914739
",5
"PT dará R$ 15 milhões à campanha de Boulos no segundo turno.

https://vistapatria.com.br/pt-dara-r-15-milhoes-a-campanha-de-boulos-no-segundo-turno/
",5
"Pablo Marçal reafirma: ‘sou contra Boulos e sempre serei’
https://www.newsatual.com/pablo-marcal-oposicao-a-boulos-sempre-serei/
",5
"SE O TRE COM ANUÊNCIA DO STF, DO TSE E DOS GENERAIS CORRUPTOS, COMUNISTAS DOS INFERNOS, TRAÍDORES DA PÁTRIA, NOMEAREM O BOULOS DE BOSTA 💩ATRAVÉS DE FRAUDES ELEITORAIS EM 2024, É ISSO QUE OS PAULISTANOS VÃO SOFRER!!! 



https://gettr.com/post/p3bjtmb3ac4
",5
"Vice-presidente do PT sobre apoio a Boulos: “Morte anunciada” 
 
https://www.portalcidade.news/vice-presidente-do-pt-sobre-apoio-a-boulos-morte-anunciada/
",5
"https://agoranoticiasbrasil.com.br/2024/10/agora-nunes-lidera-disputa-contra-boulos-para-a-prefeitura-de-sp-veja-numeros/
",5
"https://agoranoticiasbrasil.com.br/2024/10/video-datena-declara-apoio-a-boulos-contra-a-criminalidade/
",5
"https://atrombetanews.com.br/2024/10/30/oposicao-protocola-pedido-de-impeachment-contra-tarcisio-de-freitas-apos-associacao-entre-boulos-e-pcc/
Oposição protocola pedido de impeachment contra Tarcísio de Freitas após associação entre Boulos e PCC
",5
"https://bsbrevista.com.br/2024/10/05/juiz-manda-marcal-excluir-laudo-de-cocaina-contra-boulos-por-indicio-de-falsidade/
",5
"https://revistaoeste.com/politica/carreata-de-lula-e-boulos-tem-defesa-ao-comunismo-ao-aborto-e-a-legalizacao-das-drogas/
",5
"https://www.metropoles.com/sao-paulo/bolsonaro-fala-sobre-laudo-de-marcal-contra-boulos-tem-que-provar
",5
"🇧🇷 Boulos: ""O Nunes é um fantoche do Tarcísio. Ele tá usando o Nunes aqui para ser candidato a presidente""

Marçal: ""Não se preocupe que eu vou estar lá candidato"".
",5
"🗳 Paraná Pesquisas: Nunes lidera disputa contra Boulos: 52% a 39%

De acordo com o instituto Paraná Pesquisas, Ricardo Nunes tem 52% das preferências ante 39% de Guilherme Boulos para Prefeitura de São Paulo
",5
"
- Lula é um presidente sem povo.
- E Boulos é um candidato sem militância.
Está pagando caro para mortadela agitar bandeira.",4
"
2° TURNO EM SÃO PAULO: Nunes X Boulos",4
"
@brasildospatriotas Segundo o Deputado Paulo Bilynskyj os presos foram os maiores eleitores que levaram Guilherme Boulos ao segundo turno nas eleições de São Paulo.

https://t.me/freedomnewsforyou 🇧🇷",4
"
@carmeloneto Boulos quer esconder, mas a culpa é do Lula!
Compartilhe ao máximo.

“LEMBRANDO QUE A EQUATORIAL CEEE É DO MESMO DONO”(lembrando que o governo Leite que ajudou na compra)

https://t.me/freedomnewsforyou 🇧🇷",4
"
A Mãe de Isabela Nardoni se posiciona e critica o Boulos",4
"
ALDO REBELO, TAMBÉM DE ESQUERDA, PUXA MASCARA E REVELA QUEM É GUILHERME BOULOS...🫵🏻 💀💀💀


ﮩ٨ـﮩﮩ٨ـ💀♡ﮩ٨ـﮩﮩ٨ـ

https://t.me/dogonseefs",4
"
Boulos diz que Tarcísio de Freitas abusou de poder político e que entrou com ação no TRE.",4
"
Boulos exibe exame toxicológico.",4
"
Boulos votou acompanhado de 3 pessoas na cabine

@realidadebostileira",4
"
Com derrotas de Boulos e Yuri Moura, PSOL não elege nenhum prefeito em 2024",4
"
Este é Boulos, amigo de simpatizante do grupo t3rr0r1st@ H@m@s.

Boulos, aquele que como lula, a quem copia, relativiza o t3rr0r culpando a vítima, Israel.

Boulos NÃO 

https://t.me/freedomnewsforyou 🇧🇷",4
"
Fechado com o crime: Tarcísio diz que “salve do PCC” em SP pedia voto a Boulos

✍ Inscreva-se em nosso canal no Telegram:
https://t.me/oraculonacionalistaoficial

📲 Siga nosso canal no WhatsApp:
https://whatsapp.com/channel/0029VaLDBxl1nozC7Inb8n1p",4
"
Já estão articulando...p/ definir quem será o novo presidente,  a elite já escolheu...até vidente  está aparecendo 🤮. Será o Boulos?",4
"
LaMaçal declarou apoio ao Boulos fecais. 
 
""Tenho certeza de que Boulos vencerá. O Boulos e o Lula têm a linguagem do povo.""  
 
É muito picareta esse bandido e ex- presidiário. Enganou os Jumentos se dizendo de di-direita kkkkkkkkkkkkkkkkkkkkkk🤣",4
"
Match com Boulos e farçal 😂😂😂😂",4
"
O Boulos mostrou um exame toxicológico no debacte kkkkkkkkkkkkkk

@CanalClubDasWinx",4
